Age,TotalPopulation-2020,Male-2020,Female-2020,TotalPopulation-2021,Male-2021,Female-2021,TotalPopulation-2022,Male-2022,Female-2022,TotalPopulation-2023,Male-2023,Female-2023
.58,"172,986","85,413","87,573","168,404","83,217","85,187","164,535","81,299","83,236","159,200","78,615","80,585"
.59,"173,691","85,643","88,048","169,447","83,602","85,845","164,828","81,293","83,535","161,951","79,836","82,115"
.60,"170,792","83,978","86,814","169,852","83,465","86,387","165,711","81,516","84,195","161,979","79,721","82,258"
.61,"167,680","82,134","85,546","167,082","81,969","85,113","166,190","81,395","84,795","162,829","79,875","82,954"
.62,"165,919","81,071","84,848","163,672","79,937","83,735","163,024","79,700","83,324","162,933","79,551","83,382"
.63,"161,911","78,862","83,049","161,609","78,741","82,868","159,453","77,588","81,865","159,579","77,759","81,820"
.64,"154,137","74,431","79,706","157,815","76,483","81,332","157,458","76,462","80,996","156,242","75,718","80,524"
.65,"150,090","72,191","77,899","150,046","72,207","77,839","153,496","74,112","79,384","154,059","74,479","79,580"
.66,"143,168","68,598","74,570","146,352","70,071","76,281","146,164","70,028","76,136","150,459","72,342","78,117"
.67,"136,456","65,101","71,355","139,538","66,573","72,965","142,413","67,908","74,505","143,045","68,223","74,822"
.68,"130,818","62,073","68,745","132,901","63,063","69,838","135,653","64,318","71,335","139,392","66,170","73,222"
.69,"124,263","58,385","65,878","127,362","60,166","67,196","129,273","61,075","68,198","132,763","62,726","70,037"
.70,"117,560","54,942","62,618","120,683","56,351","64,332","123,546","57,994","65,552","126,055","59,202","66,853"
.71,"113,196","52,559","60,637","114,075","53,021","61,054","117,249","54,426","62,823","120,522","56,335","64,187"
.72,"110,194","51,080","59,114","109,807","50,619","59,188","110,795","51,197","59,598","114,477","52,891","61,586"
.73,"115,113","53,389","61,724","106,495","49,000","57,495","106,296","48,629","57,667","107,739","49,474","58,265"
.74,"81,309","36,963","44,346","111,253","51,271","59,982","102,969","47,095","55,874","103,376","47,055","56,321"
.75,"77,376","34,925","42,451","78,279","35,363","42,916","107,177","49,101","58,076","99,619","45,373","54,246"
.76,"75,828","33,925","41,903","74,473","33,263","41,210","75,388","33,767","41,621","103,689","47,137","56,552"
.77,"77,425","34,216","43,209","72,503","32,148","40,355","71,366","31,673","39,693","72,567","32,325","40,242"
.78,"66,812","29,148","37,664","73,835","32,287","41,548","69,245","30,430","38,815","68,442","30,132","38,310"
.79,"59,508","25,550","33,958","63,490","27,316","36,174","70,232","30,270","39,962","66,191","28,722","37,469"
.80,"54,045","22,921","31,124","56,200","23,921","32,279","60,062","25,603","34,459","66,801","28,594","38,207"
.81,"50,509","21,142","29,367","50,889","21,245","29,644","53,095","22,307","30,788","57,012","24,024","32,988"
.82,"47,487","19,620","27,867","47,086","19,361","27,725","47,579","19,585","27,994","49,984","20,766","29,218"
.83,"42,370","17,284","25,086","44,121","17,936","26,185","43,856","17,792","26,064","44,551","18,136","26,415"
.84,"38,960","15,671","23,289","38,884","15,570","23,314","40,577","16,272","24,305","40,568","16,287","24,281"
.85+,"241,398","82,645","158,753","239,383","82,492","156,891","238,659","82,915","155,744","242,611","85,207","157,404"
