Age,Male,Female
0,65873,63199
1,67042,63563
2,70291,67563
3,71856,69045
4,74067,71104
5,75677,72596
6,77936,74509
7,78628,75042
8,77780,74110
9,77316,74089
10,78124,74816
11,79930,75701
12,82067,77844
13,83465,79928
14,86677,83561
15,86790,83841
16,86181,82673
17,86792,82359
18,85153,78978
19,81810,77166
20,82116,78684
21,83648,80336
22,82935,80804
23,81584,79366
24,81792,79515
25,81973,80167
26,82529,81018
27,84237,83189
28,86102,84292
29,86652,85353
30,87467,87110
31,87984,87314
32,88089,86546
33,85724,83969
34,84821,83747
35,84765,83129
36,85884,83748
37,86444,84438
38,84582,83058
39,85393,84682
40,85777,84621
41,84991,83605
42,85255,83984
43,81567,80986
44,79988,79083
45,78843,78179
46,76146,75499
47,76681,76149
48,74754,74715
49,75522,75774
50,79015,79141
51,83679,83582
52,81891,81833
53,78631,78560
54,77082,77381
55,76928,77723
56,77801,78745
57,80121,81666
58,81299,83236
59,81293,83535
60,81516,84195
61,81395,84795
62,79700,83324
63,77588,81865
64,76462,80996
65,74112,79384
66,70028,76136
67,67908,74505
68,64318,71335
69,61075,68198
70,57994,65552
71,54426,62823
72,51197,59598
73,48629,57667
74,47095,55874
75,49101,58076
76,33767,41621
77,31673,39693
78,30430,38815
79,30270,39962
80,25603,34459
81,22307,30788
82,19585,27994
83,17792,26064
84,16272,24305
85+,82915,155744
