Age,Male,Female
0,71503,68423
1,72937,69887
2,75103,72130
3,76851,73591
4,79236,75706
5,79817,76198
6,79054,75137
7,78485,75267
8,79119,75859
9,81031,76577
10,83116,78816
11,84598,80975
12,87767,84413
13,87925,84769
14,87165,83651
15,87300,83011
16,88410,84171
17,87559,83685
18,84574,79316
19,83598,79842
20,84032,81197
21,82580,79748
22,82422,80359
23,82834,81173
24,83610,82293
25,85579,84211
26,87547,85988
27,88501,87227
28,89482,88973
29,90006,89174
30,90117,88562
31,87872,85923
32,87049,85425
33,86872,85027
34,88033,85720
35,88585,86314
36,86596,84868
37,87578,86268
38,87881,86365
39,87060,85525
40,87070,85868
41,83327,82660
42,81904,80672
43,80888,79866
44,78089,76932
45,78376,77867
46,76650,76546
47,77429,77533
48,81442,81227
49,86207,85689
50,84168,83955
51,81088,80912
52,79506,79584
53,79692,80182
54,80863,81238
55,83252,84450
56,85022,86260
57,85054,86740
58,85413,87573
59,85643,88048
60,83978,86814
61,82134,85546
62,81071,84848
63,78862,83049
64,74431,79706
65,72191,77899
66,68598,74570
67,65101,71355
68,62073,68745
69,58385,65878
70,54942,62618
71,52559,60637
72,51080,59114
73,53389,61724
74,36963,44346
75,34925,42451
76,33925,41903
77,34216,43209
78,29148,37664
79,25550,33958
80,22921,31124
81,21142,29367
82,19620,27867
83,17284,25086
84,15671,23289
85+,82645,158753
